,0
0,zoom enable waiting rooms default stop zoombombing techcrunch
1,zoom making drastic changes prevent rampant abuse trolls attack publicly-shared video calls .
2,zmurl.com covered .
3,zmurl customizes zoom link previews images & event sites techcrunch sick sharing generic zoom video call invites look
4,know curve .
5,know curve .
6,yet still season big expectations big victories big accomplishments .
7,"700,000 jobs lost march data unemployment united states rose 3.5 % 4.4 % ."
8,wish zoom link previews headline image actually described meeting
9,wild places nature must restored not conserved new head wildlife trusts said takes role .
10,matters : pressure planned monday meeting opec producing nations strike deal absent big action
11,whitmer\s administration classified lawn care landscaping work non-essential meaning
12,covid-19 delays wedding couples often told prepare anything comes wedding global pandemic isnt typically something consider .
13,want protect zoom calls trolls making attendees rsvp get link
14,walmart limit number people shopping one time coronavirus walmart saturday begin limiting many people allowed inside stores one time reducing capacity roughly 20 % way enforce social distancing .
15,walmart limit number people shopping one time coronavirus walmart saturday begin limiting many people allowed inside stores one time reducing capacity roughly 20 % way enforce social distancing .
16,walmart limit number people shopping one time coronavirus woman loads groceries vehicle outside walmart store pearl miss. march 31 .
17,virus sees corona beer halt production ongoing coronavirus pandemic forced major closures across globe closed taps corona beer well shutting several breweries across mexico .
18,videos went viral social media friday showing hundreds sailors gathered
19,video : shefali covers face plastic bag thursday 26 march 2020 bollywood celebrities bit spread awareness coronavirus outbreak .
20,"vgs family fare owner offering pay raise bonuses employees mid-michigan wjrt 4/3/2020 spartannash offering weekly bonuses temporary pay raise 16,000 employees coronavirus pandemic ."
21,unfortunately times changing try ride waves global pandemic .
22,uk investigators go fake coronavirus medicines british authorities said saturday clamping bogus cures coronavirus currently no specific licensed treatment.the medicines healthcare products regulatory agency mhra said investigating 14 fake unlicensed products treat covid-19
23,uchicago students threaten tuition strike want rate cut 50 % coronavirus pandemic students university chicago threatening withhold spring quarter tuition unless university agrees negotiate tuition rates offer students look universitys budget .
24,u.s .
25,two cops injured attacked people caught breaking coronavirus lockdown order rangpar village padadhari taluka rajkot district
26,trump speaks mail-in voting novembers election president donald trump said opposes mail-in voting november\s general election shutting concerns coronavirus pandemic would keep people away polls .
27,trump reluctant intervene imploding oil market president trump indicated friday hes unlikely take major steps prop oil prices help industry imploding coronavirus chokes oil demand .
28,trump hosted white house
29,trump considers shutting flights coronavirus hot spots number deaths coronavirus u.s. doubled three days .
30,trump aims ease u.s. oil industrys cash crunch no plan trim output : sources reuters u.s. president donald trump directed cabinet find ways ease cash crunch drilling industry oil company executives told friday meeting among top concerns according three sources briefed matter .
31,trump admin tries narrow stockpiles role states lemonwire washington ap trump administration friday abruptly changed description strategic national stockpile put forward narrower vision role federal governmentãƒâ¢ã¢â€šâ¬ã¢â€žâ¢s repository life-saving medicines equipment play supplying states needs .
32,tone-deaf tuned-in
33,tone-deaf tuned-in
34,today one biggest
35,support mercury subscribe : 10.58am : watch live : government delivers daily virus update 9.47am :
36,make happen kids need computers
37,though sudden switch homeschooling certainly challenges also opportunity kids dive deep
38,morning representative brand confirmed acclaimed shoe designer sergio rossi passed away thursday april 2nd cesena italy .
39,covid-19 changed global shopping behaviour orissapost san francisco : widespread restrictions due covid-19 pandemic changed shopping behaviour dramatically many people stocking hand sanitisers toilet papers shelters across us running pets adopt consumers take comfort new companion said new
40,breaking news update .
41,coronavirus article unlocked free read interest community health safety .
42,things working .
43,things working .
44,nashville tenn. fundraiser fisk university last fall .
45,university mississippi medical center jackson asked high volatge laboratory mississippi state university retrofit 300 ventilators said lab manager david
46,shadow brexit secretary
47,retail giant joins target costo supermarket chains deciding count restrict number visitors
48,retail giant joins target costo supermarket chains deciding count restrict number visitors
49,recent federal stimulus bills good starts washington state\s lawmakers also need
50,passing
51,pandemic already reshaping techs misinformation crisis techcrunch since 2016 social media companies faced endless barrage bad press public criticism failing anticipate platforms could used dark purposes scale populations -- undermining democracies around world say sowing social division even fueling
52,one positive week may markets didnt perform even worse thanks part surge oil prices .
53,oklahoma city-based company said statement furloughing store employees many corporate
54,oklahoma city-based company said statement furloughing store employees many
55,oklahoma city-based company said statement furloughing store employees many
56,number deaths 15 one day .
57,new coronavirus causes mild moderate symptoms people
58,national weather service uses 250 million measurements
59,markets bracing widespread job losses due
60,main issue hand severe shortage n95 masks help protect medical professionals like doctors nurses acquiring coronavirus .
61,latest : hobby lobby closing stores virus man walks berninis colonnade st. peters square pope francis weekly general audience streamed vatican television due restrictions contain covid-19 virus vatican wednesday april 1 2020 .
62,group uchicago fair tuition demanding 50 % reduction tuition
63,grocery chain operates vgs family fare stores mid-michigan announced support employees 155 grocery stores 18
64,dow jones
65,designer began designing shoes 1950s learning
66,deaths first recorded county since sunday two also died accompanied another explosion confirmed
67,county 493
68,company originally went jp morgan
69,company originally went jp morgan
70,company originally went jp morgan
71,city pasadena announces support resources businesses impacted covid-19 city pasadena announced number resources available assist pasadena businesses employees impacted covid-19 .
72,california association
73,artist hospitalized since march 22 later diagnosed coronavirus .
74,
75,
76,thats weather forecasting models rely temperature wind data gathered thousands planes flying overhead .
77,death one around 40 recorded state nevada friday afternoon .
78,surgical masks not proven
79,stocks drop unemployment spikes techcrunch stocks fell regular trading friday major american indices fell wake broadly negative jobs report .
80,state taxes : time reform : downtown seattle\s future depends coronavirus-relief funds march 30 opinion : seattle communities statewide not rely solely federal aid covid-19 economic recovery .
81,starting april 5th require passwords enter calls via meeting id since may guessed reused .
82,starkville properties co-owner principal broker melanie mitchell said agents independent contractors easy transition work
83,sps laptops checked school closure found listed sale discovering new way life coronavirus pandemic one aspect thats adjusted learning .
84,speaking msnbc friday marya sherron added family want continue fight health care workers new york city name
85,social distancing : fitness vs. safety fortunate live tree-lined street picturesque city skyline landscape attract many fitness enthusiasts .
86,sister nyc nurse died covid-19 remembers servant leader sister new york city health care worker died covid-19 last month says wants remembered servant leader .
87,sir keir starmer widely expected named next labour leader saturday partys three-month contest replace jeremy corbyn draws close .
88,several state attorneys general also probing zoom users including
89,several state attorneys general also probing zoom users including
90,several state attorneys general also probing zoom users including
91,senator asks ftc investigate zooms deceptive security claims powerful senate democrat asking federal trade commission investigate zoom deceptive practices adding growing chorus concerns popular video chat softwares privacy security flaws .
92,senator asks ftc investigate zooms deceptive security claims powerful senate democrat asking federal trade commission investigate zoom deceptive practices adding growing chorus concerns popular video chat softwares privacy security flaws .
93,senator asks ftc investigate zooms deceptive security claims powerful senate democrat asking federal trade commission investigate zoom deceptive practices adding growing chorus concerns popular video chat softwares privacy security flaws .
94,senate majority leader mitch mcconnell house speaker nancy pelosi days
95,selena gomez reveals shes bipolar selena gomez tough years -- something star oftentimes candid .
96,sec official urges delay public comment agency rule changes washington reuters u.s. securities exchange commissions lone democratic commissioner friday called delay pending rule changes due coronavirus outbreak cautioning excessive regulatory relief rush assist companies struggling fallout
97,riverside county sheriff chad bianco said 15-year veteran-of-the-force likely contracted novel coronavirus inmate county jail facility
98,riverside county coronavirus cases climb 145 638 ; 15 dead riverside countys confirmed novel coronavirus caseload jumped 29 % 638 friday afternoon april 3 .
99,resilience not
100,reese witherspoon launching new online talk show 44-year-old actress called team experts offering tips advice variety situations people may face quarantining home amid coronavirus pandemic personally found conversations helpful reese announced instagram video : i\ve
101,recently socially-isolated sweet senior neighbor no family reached .
102,recalling polio scare charlestown man wants help todays kids bear virus hes joined whats become worldwide initiative : home teddy-bear displays inspired michael rosens 1989 childrens book going bear hunt .
103,real estate agencies continue selling homes change routines starkville miss .
104,president donald trump declared wants country opened
105,preble street opens new wellness shelter usm gym ease overcrowding portland press herald nonprofit providing 50 emergency shelter beds sullivan gymnasium setting allows people follow social distancing protocols .
106,pinched shutdown orders hobby lobby closes stores oklahoma city ap -- threat coronavirus pandemic forced hobby lobby close stores notice arts craft retail chain announced friday .
107,pinched shutdown orders hobby lobby closes stores oklahoma city ap -- threat coronavirus pandemic forced hobby lobby close stores notice arts craft retail chain announced friday .
108,pinched shutdown orders hobby lobby closes stores oklahoma city -- threat coronavirus pandemic forced hobby lobby close stores notice arts craft retail chain announced friday .
109,perhaps important aspect 2019-2020 season curry developed leadership
110,people urged stay home despite warm weather prevent covid-19 spread came pandemic modeller advising government warned britain painted corner no clear exit strategy .
111,people urged stay home weekend despite warm weather prevent spread coronavirus key government adviser warned
112,last week officials chinas national health commission reported 5 new domestic
113,last week officials chinas national health commission reported 5 new domestic
114,last week officials chinas national health commission reported 5 new domestic
115,"ontario health officials projected 80,000 coronavirus cases"
116,one much-needed equipment face shield .
117,one coronavirus problem : accurate weather forecasts widespread cancellations commercial flights creating problems meteorologists around world .
118,officers confronted man mason st dinmore relation possible trespass offence
119,numerous reasons given : dont
120,numerous reasons given : dont
121,numerous reasons given : dont
122,numerous reasons given : dont
123,numerous reasons given : dont
124,everything fight virus said serbian prime minister
125,everything fight virus said serbian prime minister
126,everything fight virus said serbian prime minister
127,everything fight virus said serbian prime minister
128,americans ordered stay home avoid nonessential travel slow spread coronavirus many couples -- including
129,no think lot people cheat mail-in voting said trump .
130,msu lab retrofit hundreds ventilators ummc starkville miss .
131,ms. b -- immunocompromised retired nun nurse --
132,miracle cures
133,meanwhile change virtual waiting rooms default hosts
134,mcconnell pelosi signal virus aid likely congress washington ap -- shift top leaders congress made clear friday another coronavirus rescue package amid stark need federal resources fight pandemic economic crisis .
135,make face mask covering home : find cloth materials patterns up-to-date news information coronavirus pandemic visit website .
136,madonna faced backlash calling coronavirus outbreak great equalizer
137,madonna faced backlash calling coronavirus outbreak great equalizer
138,like others want humbled acts bravery dismayed
139,leaders back navy firing ship captain ; sailors cheer ap -- defense leaders backing decision fire ship captain sought help cornonavirus-stricken aircraft carrier even videos showed sailors cheering walked vessel .
140,lawmaker wants whitmer allow lawn care landscaping businesses work lansing wjrt 4/3/2020 lawn care landscaping businesses michigan closed gov .
141,launching today zmurl
142,kentucky governor vetoes voter id bill frankfort ky. -- democratic gov .
143,kenny anderson yellow jackets dazzling point guard
144,keir starmer expected made labour leader contest concludes winner announced via email saturday along results deputy leadership race .
145,kay ivey said order
146,weeks ago npr reported swift efforts continue get meals
147,julio cortez/ap hide caption walmart saturday begin limiting many people allowed inside stores one time reducing capacity roughly 20 % way enforce social
148,jpmorgan sees surge coronavirus cases pressuring traders sign special edition newsletter get daily update coronavirus pandemic .
149,jpmorgan pressured traders come work despite coronavirus outbreak midtown trading floor new report alleges -- nearly two dozen traders sick another 65
150,
151,
152,mainly prevent people
153,mainly prevent people
154,mainly prevent people
155,mainly prevent people
156,insurance marketplaces offer help coronavirus job cuts nearly 10 million americans applied unemployment benefits final two weeks march far exceeding figure corresponding period record million people could swamp affordable care acts health insurance marketplaces coming months employers lay
157,insight closes $ 9.5b fund help support portfolio companies pandemic techcrunch several weeks become big dip global economy due coronavirus pandemic amidst seeing notable pockets investment activity emerging help shape future startup landscape look .
158,times like need cue drumroll math graphs clearly .
159,times like need cue drumroll math graphs clearly .
160,"selangor group 100 volunteers made 1,000 face shields"
161,russia health services struggle exasperation grows coronavirus aid abroad nearly dozen russian military planes filled medical supplies landed serbia friday -- latest series controversial kremlin humanitarian aid missions carried amid global spread coronavirus .
162,russia health services struggle exasperation grows coronavirus aid abroad nearly dozen russian military planes filled medical supplies landed serbia friday -- latest series controversial kremlin humanitarian aid missions carried amid global spread coronavirus .
163,russia health services struggle exasperation grows coronavirus aid abroad nearly dozen russian military planes filled medical supplies landed serbia friday -- latest series controversial kremlin humanitarian aid missions carried amid global spread coronavirus .
164,russia health services struggle exasperation grows coronavirus aid abroad nearly dozen russian military planes filled medical supplies landed serbia friday -- latest series controversial kremlin humanitarian aid missions carried amid global spread coronavirus .
165,response 80 percent americans put lockdown told stay home .
166,veto message governor said measure would create obstacle voting resulting fewer people
167,iconic shoe designer sergio rossi dies 84 patriarch italian accessory empire passed away italy thursday .
168,think people vote id voter
169,honduran authorities seek land possible coronavirus mass graves honduran authorities friday ordered mayors locate land suitable mass graves concerns possible death toll fast-spreading coronavirus poor central american nation mount.president juan orlando hernandez whose government imposed strict curfew attempt
170,hero : riverside county deputy terrell young dies coronavirus murrieta ca riverside county sheriffs department rcsd deputy terrell young died thursday morning contracting covid-19 .
171,help needed face shields shortage personal protective equipment medical frontliners numerous organisations individuals stepped volunteer time make items .
172,gretchen whitmer\s stay home stay safe order least one lawmaker wants change .
173,governor announces resilient wisconsin initiative madison wkow -- governor tony evers wisconsin department health services secretary-designee andrea palm launched new initiative friday provides tools resources wisconsinites dealing stress mental health challenges coronavirus outbreak .
174,gm reduces loan refinancing target may pay new debt new york lpc general motors co gm seek extend maturities usus $ 6bn revolving loans rather refinance usus $ 16.5bn credit facility following discussions bank group unprecedented health crisis us .
175,gm reduces loan refinancing target may pay new debt new york lpc general motors co gm seek extend maturities us $ 6bn revolving loans rather refinance us $ 16.5bn credit facility following discussions bank group unprecedented health crisis us .
176,gm reduces loan refinancing target may pay new debt new york lpc general motors co gm seek extend maturities us $ 6bn revolving loans rather refinance us $ 16.5bn credit facility following discussions bank group unprecedented health crisis us .
177,gimãƒâ©nez passed away hometown mendoz argentina born 1943 .
178,georgia techs 1990 final four team goes memory lane thirty years perhaps cherished basketball season school history members georgia techs 1990 final four team assembled .
179,garden grove teacher races fill coronavirus face-shield shortage face shields made eric henninger garden grove high school computer science teacher .
180,gal gadot celebrity friends singing imagine john lennon .
181,gal gadot celebrity friends singing imagine john lennon .
182,asking people observe social distancing sharing posts preventive measure social media b-town guiding followers fight covid-19 .
183,finance leaders scouring balance sheets costs cut considering reducing need office space permanently shifting portion employees working remotely according survey released friday .
184,fears officers coronavirus-risk arrest three police officers gone self-isolation came contact man train station believe home-isolating crossing queensland border .
185,face coverings recommended trump says wont wear one ap -- president says administration encouraging many americans wear face masks public though stresses recommendation optional conceding not complying .
186,everyones school : outschool making virtual learning personal cover innovative educators companies support .
187,even president donald trump said no need federal government issue nationwide lockdown .
188,dow tumbles 360 points rough march jobs report u.s . stock markets friday stumbled another volatile week filled dismal unemployment numbers relentless rise coronavirus deaths .
189,disaster feared sick moved california nursing homes los angeles ap -- california directive could open way patients sickened covid-19 sent overburdened hospitals nursing homes criticized industry officials fear vulnerable elderly residents would placed risk .
190,deaths covid-19 recorded moreno valley eastvale corona wildomar coachella valley .
191,data hospitalizations provides crucial answer .
192,data hospitalizations provides crucial answer .
193,daily blog : aussie mps blast china virus crisis get latest updates coronavirus crisis sweeping state country .
194,craig bennett taking new chief executive wildlife
195,covid-19 employee rights & resources webinar foothill workforce development board fwdb host webinar monday april 6 2020 1 pm help pasadena
196,coronavirus : two contra costa county die covid-19 two people died coronavirus contra costa county health officials said friday putting tally five county since pandemic began .
197,coronavirus : governor seize ventilators new york hospitals buckle coronavirus deaths surging new york governor announced friday use authority seize ventilators protective gear private hospitals companies arent using one aggressive steps yet us relieve severe shortages equipment
198,coronavirus : acts kindness lawyers often unappreciated even need one .
199,coronavirus proves minefield celebrities supposed attempt cheer masses .
200,coronavirus proves minefield celebrities supposed attempt cheer masses .
201,coronavirus faqs : homemade mask effective
202,coronavirus faqs : homemade mask effective
203,coronavirus faqs : homemade mask effective
204,coronavirus faqs : homemade mask effective
205,coronavirus faqs : homemade mask effective
206,coronavirus crisis : mr. president look data .
207,cops ensuring lockdown attacked rajkot porbandar villages rajkot news times india rajkot : policemen trying ensure complete lockdown wake coronavirus spread receiving end peoples anger .
208,column : graph shows b.c .
209,column : graph shows b.c .
210,china gone reporting thousands cases day february one two day .
211,china gone reporting thousands cases day february one two day .
212,china gone reporting thousands cases day february one two day .
213,china enters next phase covid-19 outbreak : suppression coronavirus cases china days authorities dont see local transmission .
214,china enters next phase covid-19 outbreak : suppression coronavirus cases china days authorities dont see local transmission .
215,china enters next phase covid-19 outbreak : suppression coronavirus cases china days authorities dont see local transmission .
216,children may miss meals school food service workers fall ill clark county nev. nations fifth-largest school district school food service worker reportedly died covid-19 .
217,children arent school still need get education find age virtual learning .
218,charlestown -- joe deslaurier cant help think back childhood .
219,cfos plan permanently shift significant numbers employees work remotely -- survey write corporate finance evolving role cfos .
220,centennials jayda curry press-enterprises girls basketball player year jayda curry centennial girls basketball team didnt reach ultimate goal year .
221,cdc recommends americans consider wearing cloth face coverings public president trump said friday centers disease control prevention recommends people wear cloth fabric face coverings made home entering public spaces grocery stores public transit stations .
222,cdc recommends americans consider wearing cloth face coverings public president trump said friday centers disease control prevention recommends people wear cloth fabric face coverings made home entering public spaces grocery stores public transit stations .
223,cdc recommends americans consider wearing cloth face coverings public president trump said friday centers disease control prevention recommends people wear cloth fabric face coverings made home entering public spaces grocery stores public transit stations .
224,cdc recommends americans consider wearing cloth face coverings public president trump said friday centers disease control prevention recommends people wear cloth fabric face coverings made home entering public spaces grocery stores public transit stations .
225,canada blasts us block 3m exports masks coronavirus cases set soar canadian officials friday blasted move president donald trump block 3m cos mmm.n export n95 respirator masks use doctors nurses coronavirus cases projected soar countrys populous region .
226,beat covid-19 chilliwack progress curve flattened
227,beat covid-19 abbotsford news curve flattened
228,call restore nature wild places new head wildlife trusts says battle boost wildlife resume pandemic .
229,many often go beyond no expectation return monetarily otherwise .
230,flopped branded touch many social media .
231,flopped branded touch many social media .
232,british columbias curve flattening .
233,british columbias curve flattening .
234,billionaire buffetts berkshire hathaway sells part delta southwest stakes new york : warren buffetts pic berkshire hathaway inc said friday sold 18 % stake delta air lines inc 4 % holdings southwest airlines co week coronavirus pandemic drives airline industry perhaps biggest crisis ever .
235,outbreak began sweep across world sales popular beer began take hit constellation
236,aps earlier story follows .
237,andy beshear friday vetoed bill pushed republican lawmakers require kentucky residents show government-issued photo id order vote .
238,yet doubters remain .
239,yet doubters remain .
240,whats best way wear one
241,whats best way wear one
242,whats best way wear one
243,whats best way wear one
244,whats best way wear one
245,isnt alone .
246,isnt alone .
247,amongst publicized break-ups major health scares lose love singer made habit utilizing platform offer insights ongoing mental health struggles
248,allowing employees
249,alabama gov .
250,alabama missouri issue stay-at-home orders governors alabama missouri friday announced stay-at-home orders leaving handful state holdouts continue defy expert advice self-quarantine contain spread coronavirus pandemic cases continue rise .
251,coronavirus outbreak closed schools across world parents became teachers rapid rate .
252,outcry navy captain relieved command assurances wont expelled day u.s. navy captain brett crozier abruptly removed post commanding officer coronavirus-infected aircraft carrier uss theodore roosevelt navy official confirms npr acting navy secretary thomas modly intends crozier reassigned rather dismissed
253,according reuters
254,according
255,acclaimed comics artist juan gimenez dies age 76 comic book artist juan gimãƒâ©nez passed away age 79 losing battle covid-19 .
256,series polio outbreaks late 1940s early 1950s
257,preble street resource center truck parked outside usm\s sullivan gym converted wellness shelter ease crowding
258,wtva -- students converting hundreds ventilators battery powered ac powered .
259,wtva -- real estate agents still selling houses changed routines coronavirus pandemic .
260,courtesy : eric henninger battle novel coronavirus exposed huge gaps supply chains shown us shortfalls filled old-fashion ingenuity volunteerism .
261,ap -- trump
262,since beginning global coronavirus pandemic americans told centers disease control prevention not wear masks unless sick caring sick person unable wear one working health care .
263,evie cai sten vermund howard p. forman usa today opinion contributors know it\s hard keep faith millions americans separated one another work opening won\t help matters .
